,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1338357949,0,3,2,-37.8234669,144.9675701,-37.8240365,144.9334886,3436,06/03/18,21:44:46,916.14,22:00:02,12.28
ID5961340635,2,8,5,-37.807202,145.0266373,-37.8057732,144.9308832,9216,28/05/18,15:40:47,2397.06,16:20:44,197.74
ID3439551723,1,1,9,-37.8072427,144.9582705,-38.1109156,144.6541725,43702,27/03/18,14:13:34,10556.64,17:09:30,52.89
ID3193785898,1,3,1,-37.8231224,144.9891999,-37.7999918,144.9615824,4120,28/02/18,13:18:35,937.74,13:34:12,14
ID3618180863,1,6,9,-37.773845,144.9836895,-38.1109156,144.6541725,48197,12/05/18,16:43:01,11519.4,19:55:00,58.44
ID1569083277,0,2,7,-37.8151161,144.927561,-37.8618349,144.905716,11775,10/03/18,0:21:02,3790.5,1:24:12,18.34
ID1512282892,0,5,2,-37.8055432,144.9369369,-37.8136961,144.9461109,1470,09/04/18,20:46:57,372.18,20:53:09,8.35
ID1690461360,0,5,8,-37.8097706,144.9300462,-37.807202,145.0266373,10059,28/06/18,2:21:06,2576.52,3:04:02,13.46
ID3997154186,1,2,8,-37.8165285,144.9282096,-37.807202,145.0266373,10299,08/03/18,0:04:19,2645.82,0:48:24,28.74
ID3926117051,1,4,3,-37.8143675,144.9999414,-37.8206984,144.9669078,3668,23/06/18,6:35:53,910.32,6:51:03,14.17
ID1959356289,0,3,7,-37.8170182,144.9853704,-37.8618349,144.905716,9382,28/06/18,19:21:22,3134.7,20:13:36,12.28
ID3924909469,1,4,1,-37.7998201,145.0147972,-37.8161258,144.9641152,6113,18/05/18,8:18:19,1563.66,8:44:22,11.16
ID3780990486,1,6,9,-37.7874325,144.9803767,-38.1109156,144.6541725,47033,16/03/18,0:36:15,11350.5,3:45:25,59.15
ID1962489802,0,2,8,-37.8210155,144.9490014,-37.8158343,145.04645,9224,13/07/18,18:22:38,2680.68,19:07:18,10.7
ID3868182706,1,3,2,-37.8241555,144.9839057,-37.822575,144.9365815,4805,05/06/18,7:43:14,1312.14,8:05:06,12.3
ID1407983586,0,8,5,-37.8158343,145.04645,-37.8043734,144.9286364,10658,04/04/18,21:45:02,3022.2,22:35:24,14.02
ID3988349908,1,1,6,-37.8027531,144.9512701,-37.773845,144.9836895,5210,03/04/18,23:20:33,1100.4,23:38:53,21.57
ID3347539968,1,2,9,-37.8137504,144.9376603,-38.1109156,144.6541725,42795,27/04/18,22:29:47,10252.92,1:20:39,57.88
ID1415782318,0,9,2,-38.1109156,144.6541725,-37.8217122,144.9475388,41927,26/02/18,20:47:13,10075.38,23:35:08,21.68
ID3472318345,1,6,4,-37.7874325,144.9803767,-37.7995341,144.9999076,3343,03/01/18,4:30:13,829.68,4:44:02,20.56
ID5848307717,2,8,9,-37.8158343,145.04645,-38.1109156,144.6541725,51032,07/07/18,14:52:45,12681.06,18:24:06,968.51
ID3399899630,1,4,7,-37.8118332,145.0004391,-37.8618349,144.905716,10969,10/04/18,22:59:58,3561.06,23:59:19,31.26
ID1351430776,0,2,7,-37.8113128,144.9299071,-37.8618349,144.905716,11874,20/05/18,14:43:52,3784.68,15:46:56,17.23
ID1662469999,0,5,7,-37.7972646,144.9313349,-37.8618349,144.905716,12379,04/02/18,21:37:14,3896.22,22:42:10,19
ID3729011014,1,9,5,-38.1109156,144.6541725,-37.8160985,144.928758,44191,04/04/18,5:42:05,10621.74,8:39:06,57.37
ID5199607299,2,1,3,-37.8120882,144.9523337,-37.8099203,144.9784012,2646,19/05/18,1:15:20,628.92,1:25:48,82.25
ID1702681598,0,2,8,-37.8209365,144.9337138,-37.8158343,145.04645,10839,04/02/18,11:09:26,3100.68,12:01:06,11.32
ID3394348662,1,4,7,-37.8023453,145.0048161,-37.8618349,144.905716,12160,25/05/18,7:54:32,3877.8,8:59:09,22.06
ID1940554953,0,2,5,-37.8191916,144.9340419,-37.8073876,144.9322708,3077,09/02/18,4:16:14,807.06,4:29:41,11.39
ID1212285154,0,4,5,-37.811221,145.0073618,-37.8019417,144.9269155,7387,12/03/18,10:17:29,1917,10:49:26,7.74
ID1175214079,0,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151,05/02/18,22:06:11,4917.48,23:28:08,17.85
ID1448829589,0,2,1,-37.8238253,144.922415,-37.8088022,144.9485653,4332,17/01/18,9:51:21,1040.58,10:08:41,6.65
ID3199639327,1,7,5,-37.8618349,144.905716,-37.8049802,144.9249672,11606,27/06/18,4:53:34,3688.44,5:55:02,31.42543326
ID3373031652,1,2,3,-37.8209994,144.9431659,-37.8232066,144.9699894,2803,16/05/18,1:13:20,791.46,1:26:31,19.19
ID1276103398,0,4,7,-37.7953144,144.9937455,-37.8618349,144.905716,11903,23/01/18,22:14:29,4015.86,23:21:24,16.77
ID1936663461,0,8,2,-37.8158343,145.04645,-37.8160049,144.9395219,9826,04/03/18,21:49:41,2812.14,22:36:33,17.52
ID1292765678,0,8,2,-37.8158343,145.04645,-37.8214827,144.945538,9510,07/03/18,16:32:24,2734.5,17:17:58,11.38
ID1554952808,0,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797,23/05/18,1:11:18,13173.36,4:50:51,29.87649677
ID3231846701,1,4,8,-37.8111789,144.9990511,-37.8158343,145.04645,4286,18/06/18,7:25:25,1383.72,7:48:28,10.88
ID3426399721,1,1,3,-37.8075404,144.9484796,-37.8229383,144.9810236,4147,10/06/18,6:01:41,1085.16,6:19:46,13.65590428
ID1781591123,0,1,2,-37.8173802,144.9488957,-37.8088806,144.9252933,2544,21/06/18,14:38:23,590.34,14:48:13,8.59108925
ID1954231698,0,4,9,-37.8017564,144.9986517,-38.1109156,144.6541725,47412,24/04/18,10:21:05,11460.96,13:32:05,22.36
ID1455993891,0,9,4,-38.1109156,144.6541725,-37.8143618,145.0140941,48512,23/03/18,19:03:28,11718.3,22:18:46,24.31
ID1901341211,0,8,4,-37.8158343,145.04645,-37.809021,145.0101695,3536,28/03/18,11:28:29,1174.62,11:48:03,6.536895756
ID3330432781,1,3,5,-37.8226541,144.9848149,-37.8066242,144.9323335,5565,16/05/18,4:51:00,1350.96,5:13:30,22.64065085
ID3809697346,1,2,3,-37.812257,144.9366091,-37.815109,144.9749588,4260,23/02/18,0:31:19,1054.86,0:48:53,21.50762572
ID1575351870,0,6,3,-37.773845,144.9836895,-37.8187758,144.9700762,5552,01/06/18,15:45:03,1189.68,16:04:52,9.79
ID1898499293,0,3,5,-37.8209583,144.97668,-37.805029,144.9312301,5776,02/05/18,23:20:19,1461.42,23:44:40,12.12
ID3142445177,1,3,9,-37.8157049,144.9696048,-38.1109156,144.6541725,44006,21/05/18,16:06:48,10548.06,19:02:36,52.38
ID3937007795,1,1,9,-37.8112936,144.9729904,-38.1109156,144.6541725,44249,24/07/18,0:08:05,10622.46,3:05:07,59.56
ID1880516085,0,6,7,-37.7874325,144.9803767,-37.8618349,144.905716,11633,11/02/18,20:06:10,3663.78,21:07:13,16.04929661
ID5234677177,2,8,1,-37.8158343,145.04645,-37.8026926,144.9507254,8684,18/06/18,14:59:05,2402.4,15:39:07,198.39
ID3510228468,1,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797,25/01/18,11:37:28,13173.36,15:17:01,56.5317388
ID3933175339,1,9,2,-38.1109156,144.6541725,-37.8216583,144.9425787,41759,20/03/18,2:56:54,10034.34,5:44:08,55.78980555
ID1909864681,0,2,3,-37.8224018,144.9373722,-37.8275615,144.9828777,4627,05/05/18,6:47:02,1221.3,7:07:23,10.67
ID1472520453,0,1,2,-37.800578,144.9735988,-37.8197216,144.9514715,3577,21/03/18,0:29:39,875.46,0:44:14,11.87176494
ID3858528692,1,3,4,-37.8174514,144.9707239,-37.8000323,144.9949409,4193,10/07/18,3:02:04,1220.76,3:22:24,23.29
ID5302186006,2,8,3,-37.8158343,145.04645,-37.8245305,144.9829281,7053,25/03/18,5:24:03,2060.76,5:58:23,189.24
ID1443880369,0,4,5,-37.8076743,144.9919535,-37.8120906,144.9276731,6406,01/05/18,14:00:10,1612.62,14:27:02,10.08552534
ID5458093978,2,8,5,-37.807202,145.0266373,-37.8097706,144.9300462,10059,07/07/18,17:52:40,2546.64,18:35:06,217.73
ID3891688533,1,9,5,-38.1109156,144.6541725,-37.7964033,144.930983,45111,11/07/18,10:08:21,10802.58,13:08:23,47.63832509
ID3302154860,1,1,7,-37.7993939,144.9592857,-37.8618349,144.905716,9932,04/05/18,6:46:52,3286.5,7:41:38,18.8011833
ID3424002970,1,5,9,-37.8059182,144.9366503,-38.1109156,144.6541725,43220,26/01/18,4:38:38,10356.48,7:31:14,58
ID1989118303,0,6,2,-37.7874325,144.9803767,-37.8160079,144.9460463,5199,28/04/18,16:46:58,1267.2,17:08:05,14.25
ID3571217733,1,1,3,-37.8032633,144.9509739,-37.822033,144.968563,3055,14/07/18,6:32:31,780.84,6:45:31,10.97
ID5985281791,2,4,3,-37.8098082,144.9930308,-37.8211135,144.9837833,1862,23/01/18,13:22:01,517.02,13:30:38,58.66
ID3727515004,1,7,6,-37.8618349,144.905716,-37.7874421,144.9804091,11630,08/01/18,21:33:42,3678.54,22:35:00,30.5
ID5801502198,2,7,4,-37.8618349,144.905716,-37.81683,145.0142511,12346,16/07/18,23:50:33,3873.66,0:55:06,315.86
ID3364190788,1,1,6,-37.8135027,144.9656729,-37.7738026,144.9836466,7843,06/04/18,6:40:15,2516.76,7:22:11,15.46
ID1794848630,0,9,3,-38.1109156,144.6541725,-37.8089867,144.985233,45608,14/05/18,16:19:05,11053.5,19:23:18,24.82
ID3426242125,1,9,6,-38.1109156,144.6541725,-37.7874325,144.9803767,47033,13/01/18,15:56:22,11355.66,19:05:37,58.41176108
ID1965319698,0,4,1,-37.8028541,145.0036311,-37.8133476,144.9357502,6984,05/02/18,6:56:47,1749.3,7:25:56,7.42208284
ID3872510372,1,1,9,-37.8032857,144.9502708,-38.1109156,144.6541725,43584,05/07/18,14:37:53,10470.9,17:32:23,50.82
ID1485938101,0,6,3,-37.7738026,144.9836466,-37.818171,144.9957199,9740,11/04/18,6:07:25,2985.48,6:57:10,8.5
ID5172040582,2,6,2,-37.7874421,144.9804091,-37.8153659,144.9354149,6080,13/07/18,5:20:58,1535.88,5:46:33,142.21
ID1468390137,0,1,9,-37.8073688,144.9559065,-38.1109156,144.6541725,43492,24/05/18,20:12:01,10497.96,23:06:58,24.4
ID3510035304,1,2,8,-37.8218547,144.947504,-37.8158343,145.04645,9344,14/04/18,13:08:15,2709.3,13:53:24,25.04
ID5161504622,2,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151,25/03/18,11:36:15,4917.48,12:58:12,384.907365
ID1717002424,0,1,6,-37.8204838,144.9661266,-37.7738026,144.9836466,8883,13/02/18,2:00:34,2775.12,2:46:49,15.91
ID3450821772,1,9,4,-38.1109156,144.6541725,-37.8006892,144.9943213,47138,26/05/18,21:12:40,11362.68,0:22:02,63.45
ID1945687840,0,8,2,-37.8158343,145.04645,-37.820153,144.9428437,9754,13/06/18,18:57:33,2683.62,19:42:16,11.62653914
ID1676735627,0,2,8,-37.8164447,144.9458051,-37.807202,145.0266373,8002,03/06/18,20:06:50,2029.56,20:40:39,13.53
ID5954791887,2,2,7,-37.8155778,144.9388428,-37.8618349,144.905716,10332,17/03/18,21:21:38,3422.28,22:18:40,290.5164496
ID3504492016,1,5,4,-37.8080907,144.9366292,-37.8145419,145.0139865,7625,21/01/18,14:47:49,1959.78,15:20:28,21.73
ID1866550206,0,9,6,-38.1109156,144.6541725,-37.773845,144.9836895,48197,17/05/18,17:33:58,11495.34,20:45:33,23.28
ID3494603291,1,4,6,-37.8120664,145.01463,-37.7874421,144.9804091,5530,10/07/18,6:31:20,1424.82,6:55:04,11.81989541
