,Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
13,ID3181410070,1,6,3,-37.7874325,144.9803767,-37.823749,145.0088206,6240.0,2018-05-12,15:23:42,1582.4399999999994,15:50:04,9.64
14,ID1660813798,0,3,6,-37.8127105,144.9902935,-37.7874421,144.9804091,3778.0,2018-04-01,17:55:39,929.6400000000003,18:11:08,9.54
15,ID1266512343,0,9,4,-38.1109156,144.65417250000002,-37.8145666,145.0143837,48524.0,2018-07-04,20:45:02,11714.7,0:00:16,24.99
16,ID3593008109,1,5,7,-37.806118299999994,144.93421419999999,-37.8618349,144.90571599999998,10806.0,2018-04-27,21:31:56,3463.9800000000005,22:29:39,26.6
17,ID1799281527,0,7,8,-37.8618349,144.90571599999998,-37.807202000000004,145.0266373,13986.0,2018-05-09,20:42:29,4292.399999999998,21:54:01,14.97
18,ID3220683302,1,4,1,-37.8102846,145.00158480000002,-37.8213986,144.9548658,4697.0,2018-06-17,20:26:23,1240.8600000000004,20:47:03,8.43
19,ID1563834347,0,3,8,-37.8113201,145.0004866,-37.8158343,145.04645,4158.0,2018-01-19,05:16:31,1337.64,5:38:48,6.52
20,ID3796474239,1,1,8,-37.8160546,144.97250480000002,-37.807202000000004,145.0266373,5783.0,2018-07-01,21:01:09,1450.3200000000004,21:25:19,21.58
21,ID3799560141,1,9,6,-38.1109156,144.65417250000002,-37.773845,144.9836895,48197.0,2018-04-05,19:41:18,11495.340000000007,22:52:53,48.75
22,ID1354837043,0,4,6,-37.8030914,145.008892,-37.7738026,144.98364660000001,9845.0,2018-01-19,17:27:50,3035.5200000000004,18:18:25,11.34
23,ID1230960304,0,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032.0,2018-01-25,16:54:45,12681.060000000005,20:26:06,25.94
24,ID3757873199,1,9,8,-38.1109156,144.65417250000002,-37.807202000000004,145.0266373,49777.0,2018-06-11,19:54:03,12099.660000000005,23:15:42,24.765
25,ID3734840829,1,8,3,-37.8158343,145.04645,-37.818185799999995,144.975564,7056.0,2018-07-02,00:08:43,2075.6999999999994,0:43:18,21.85
26,ID3132353831,1,7,2,-37.8618349,144.90571599999998,-37.815019299999996,144.9451592,9553.0,2018-07-24,15:24:55,3193.799999999999,16:18:08,9.985
27,ID1993424596,0,4,7,-37.801283899999994,144.988679,-37.8618349,144.90571599999998,10858.0,2018-01-07,03:23:58,3558.24,4:23:16,18.36
28,ID3831232274,1,5,1,-37.805876700000006,144.92955780000003,-37.8197185,144.95990890000002,3921.0,2018-02-11,09:53:46,977.4000000000003,10:10:03,10.09
29,ID1412207772,0,8,1,-37.8158343,145.04645,-37.811673799999994,144.95853300000002,8404.0,2018-06-09,07:27:30,2443.1999999999994,8:08:13,8.97
30,ID1555854268,0,2,8,-37.8148679,144.9350931,-37.807202000000004,145.0266373,8960.0,2018-01-13,04:28:20,2269.620000000001,5:06:09,17.86
31,ID1875936802,0,3,6,-37.812137,144.9935001,-37.7738026,144.98364660000001,9132.0,2018-05-04,19:38:23,2792.5200000000004,20:24:55,10.52
32,ID1469868809,0,8,3,-37.8158343,145.04645,-37.8100407,144.9795533,6060.0,2018-01-08,19:17:14,1792.56,19:47:06,8.77
33,ID1777048541,0,6,2,-37.7908183,144.9857929,-37.813973700000005,144.9356375,6611.0,2018-07-23,07:35:54,1700.6399999999994,8:04:14,3.7
34,ID1674308115,0,9,4,-38.1109156,144.65417250000002,-37.806339200000004,145.00976780000002,48102.0,2018-02-06,17:32:52,11699.700000000004,20:47:51,22.55
35,ID3958239375,1,8,9,-37.807202000000004,145.0266373,-38.1109156,144.65417250000002,49777.0,2018-03-01,12:04:27,12069.78,15:25:36,50.41
36,ID3519065202,1,7,6,-37.8618349,144.90571599999998,-37.7874325,144.9803767,11633.0,2018-06-08,20:45:51,3645.2999999999984,21:46:36,21.48
37,ID3642203604,1,9,2,-38.1109156,144.65417250000002,-37.8120556,144.9417989,42255.0,2018-05-17,17:45:07,10138.619999999997,20:34:05,22.305
38,ID1368576680,0,1,5,-37.8102467,144.9764261,-37.8067537,144.91075800000002,7080.0,2018-05-11,22:50:15,1813.2,23:20:28,12.41
39,ID5706669239,2,6,7,-37.7874325,144.9803767,-37.8618349,144.90571599999998,11633.0,2018-02-23,00:42:49,3663.780000000001,1:43:52,306.74
40,ID1507082881,0,5,7,-37.800275,144.92935590000002,-37.8618349,144.90571599999998,11509.0,2018-03-13,21:36:38,3646.860000000001,22:37:24,16.07
41,ID1323627738,0,2,7,-37.817834399999995,144.95050590000002,-37.8618349,144.90571599999998,8850.0,2018-01-07,16:48:23,3004.08,17:38:27,14.39
42,ID1543453456,0,3,6,-37.8193391,144.98325359999998,-37.7874325,144.9803767,4084.0,2018-04-03,01:22:13,1030.62,1:39:23,11.71
43,ID1795799885,0,9,3,-38.1109156,144.65417250000002,-37.8165761,144.98014730000003,44981.0,2018-04-11,19:40:32,10889.339999999997,22:42:01,23.89
44,ID3599544210,1,8,3,-37.8158343,145.04645,-37.8101921,144.9970966,4389.0,2018-04-04,17:06:02,1381.44,17:29:03,15.57
45,ID1368417012,0,2,4,-37.813352,144.9402417,-37.8092109,145.00089419999998,5779.0,2018-07-20,05:58:30,1451.58,6:22:41,11.12
46,ID3789513705,1,6,4,-37.7874421,144.9804091,-37.8026593,145.016216,5313.0,2018-03-08,21:17:49,1388.22,21:40:57,18.31
47,ID3393309301,1,9,3,-38.1109156,144.65417250000002,-37.8180679,144.99467009999998,46299.0,2018-07-26,09:25:36,11242.979999999992,12:32:58,43.19
48,ID1142782975,0,4,2,-37.8145518,145.00464409999998,-37.819842200000004,144.9408034,6306.0,2018-02-05,15:30:20,1436.6400000000006,15:54:16,9.63
49,ID3802644384,1,9,4,-38.1109156,144.65417250000002,-37.8011713,145.0045171,47979.0,2018-05-05,03:56:04,11651.820000000005,7:10:15,57.95
50,ID3414679532,1,8,9,-37.807202000000004,145.0266373,-38.1109156,144.65417250000002,49777.0,2018-04-15,20:28:55,12069.78,23:50:04,27.635
51,ID1912773728,0,7,1,-37.8618349,144.90571599999998,-37.8111119,144.959095,8663.0,2018-06-23,14:37:01,2961.360000000001,15:26:22,7.815
52,ID1578848293,0,5,3,-37.8098825,144.9364396,-37.813381,144.97386930000002,3936.0,2018-03-17,06:00:04,973.86,6:16:17,4.83
53,ID3340973870,1,9,6,-38.1109156,144.65417250000002,-37.7907967,144.985865,47193.0,2018-01-22,08:18:28,11535.780000000008,11:30:43,45.42
54,ID1645349433,0,6,1,-37.7874325,144.9803767,-37.807231200000004,144.95592659999997,4097.0,2018-05-15,11:28:03,1077.24,11:46:00,3.13
55,ID1469923320,0,6,4,-37.773845,144.9836895,-37.79916,144.98987639999999,5299.0,2018-04-14,08:10:54,1099.8000000000004,8:29:13,4.155
56,ID3574513467,1,5,8,-37.8152489,144.92772730000002,-37.8158343,145.04645,11789.0,2018-04-08,08:16:56,3271.8,9:11:27,17.57
57,ID3396421905,1,3,5,-37.8237092,144.9869112,-37.8131622,144.9335246,6324.0,2018-02-22,06:58:43,1374.1799999999996,7:21:37,7.99
58,ID3970321981,1,7,6,-37.8618349,144.90571599999998,-37.7874325,144.9803767,11633.0,2018-07-13,22:40:03,3645.2999999999984,23:40:48,26.48
59,ID1155218141,0,6,3,-37.7738026,144.98364660000001,-37.813684499999994,144.97310190000002,7751.0,2018-01-23,00:53:13,2459.8199999999993,1:34:12,6.425
60,ID1253186158,0,6,8,-37.7874421,144.9804091,-37.807202000000004,145.0266373,5789.0,2018-01-26,03:27:02,1492.6800000000005,3:51:54,13.41
61,ID3425503970,1,7,6,-37.8618349,144.90571599999998,-37.7907967,144.985865,11711.0,2018-06-27,02:50:39,3859.7999999999984,3:54:58,26.61
62,ID3523957202,1,2,4,-37.82183920000001,144.95183400000002,-37.814294399999994,145.0062345,5347.0,2018-07-02,08:07:51,1359.2399999999998,8:30:30,7.84
63,ID1949834740,0,6,9,-37.7874325,144.9803767,-38.1109156,144.65417250000002,47033.0,2018-01-19,16:48:30,11350.5,19:57:40,11.475
64,ID1492790100,0,6,8,-37.7874421,144.9804091,-37.807202000000004,145.0266373,5789.0,2018-04-16,21:49:25,1492.6800000000005,22:14:17,12.4
65,ID1608951687,0,1,2,-37.8082401,144.9632852,-37.8125335,144.9376384,2634.0,2018-04-10,10:06:48,680.4599999999998,10:18:08,3.69
66,ID1858305997,0,7,2,-37.8618349,144.90571599999998,-37.818692299999995,144.94789450000002,9078.0,2018-02-23,09:54:06,3073.0199999999995,10:45:19,6.41
67,ID3568252163,1,3,2,-37.8242349,144.991632,-37.824982299999995,144.9289443,11369.0,2018-01-06,22:01:09,2732.94,22:46:41,14.075
68,ID3227614763,1,7,3,-37.8618349,144.90571599999998,-37.8143499,144.98707919999998,9642.0,2018-01-26,10:00:43,3258.8999999999987,10:55:01,15.35
69,ID3582878271,1,8,1,-37.8158343,145.04645,-37.818284600000005,144.9566733,8458.0,2018-01-06,00:34:34,2371.1399999999985,1:14:05,28.13
70,ID3768885978,1,4,3,-37.811721999999996,145.0119814,-37.8183117,144.9755586,4019.0,2018-03-09,00:28:08,1014.1199999999997,0:45:02,8.2
71,ID1591416028,0,7,5,-37.8618349,144.90571599999998,-37.8113599,144.9272092,11475.0,2018-02-28,11:13:34,3703.859999999997,12:15:17,7.94
72,ID5781158753,2,2,3,-37.8211448,144.94743559999998,-37.823086700000005,145.00928169999997,5977.0,2018-04-25,01:49:14,1437.6000000000006,2:13:11,138.14
73,ID1463874322,0,6,2,-37.7738026,144.98364660000001,-37.8143652,144.9473851,8960.0,2018-03-08,17:19:05,2836.199999999998,18:06:21,12.12
74,ID3264367464,1,4,1,-37.8111497,145.0064638,-37.820290500000006,144.9576071,4786.0,2018-01-08,09:55:34,1187.0400000000004,10:15:21,4.65
75,ID1491211614,0,7,1,-37.8618349,144.90571599999998,-37.8056823,144.95375,9396.0,2018-04-24,04:46:09,3150.8399999999965,5:38:39,7.2
76,ID3982255464,1,5,1,-37.8057345,144.9287381,-37.8026123,144.9705446,4641.0,2018-03-23,09:00:57,1248.6,9:21:45,7.61
77,ID5603389676,2,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032.0,2018-02-24,01:15:17,12681.060000000005,4:46:38,990.12
78,ID3197070304,1,2,8,-37.8249533,144.94983380000002,-37.8158343,145.04645,9425.0,2018-07-07,21:21:29,2731.26,22:07:00,13.59
79,ID1139736260,0,5,8,-37.799614399999996,144.9327719,-37.8158343,145.04645,11863.0,2018-02-19,23:05:51,3211.4999999999995,23:59:22,15.99
