,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1766469142,0,1,1,-37.7907967,144.985865,-37.8068572,144.9462833,5133.0,2018-02-22,18:26:39,1436.9400000000012,18:50:35,9.49
ID1360114036,0,6,3,-37.773845,144.9836895,-37.8163655,144.975425,7886.0,2018-04-27,01:32:34,1581.6599999999996,1:58:55,10.3
ID3177645896,1,8,5,-38.1109156,144.6541725,-37.7999032,144.927629,44427.0,2018-04-16,14:50:19,10637.759999999998,17:47:36,46.76
ID1634729439,0,7,4,-37.8618349,144.905716,-37.8108766,145.0141308,12330.0,2018-03-08,11:46:07,3944.3399999999974,12:51:51,8.18
ID3858828992,1,7,8,-37.8133329,144.9375277,-37.807202,145.0266373,8867.0,2018-01-28,18:58:09,2266.32,19:35:55,22.15
ID1386048219,0,7,8,-37.8618349,144.905716,-37.8158343,145.04645,15151.0,2018-06-20,21:49:09,4911.599999999998,23:11:00,14.06
ID3842689492,1,3,1,-37.8105845,145.0006459,-37.8092583,144.9523112,4422.0,2018-05-11,04:36:38,1106.2199999999996,4:55:04,20.67
ID3705695475,1,6,4,-37.7908183,144.9857929,-37.80422,145.0024501,2911.0,2018-07-08,14:43:12,696.8399999999999,14:54:48,17.48
ID3455667228,1,1,5,-37.8082134,144.9743591,-37.8164324,144.9284395,5186.0,2018-02-24,00:53:21,1308.6000000000004,1:15:09,25.57
ID1287146644,0,9,1,-38.1109156,144.6541725,-37.8100612,144.9583836,43290.0,2018-07-11,12:04:28,10481.760000000007,14:59:09,15.0
ID3591132198,1,7,1,-37.8618349,144.905716,-37.8064324,144.9544806,9330.0,2018-03-19,21:20:11,3137.6399999999962,22:12:28,27.89
ID1628489316,0,6,8,-37.7908183,144.9857929,-37.8013457,144.9174425,7433.0,2018-07-11,12:23:16,2010.12,12:56:46,7.19
ID1961297921,0,6,5,-37.7874325,144.9803767,-37.8002879,144.9367364,6204.0,2018-04-10,11:19:03,1584.0000000000007,11:45:27,3.64
ID3605629251,1,6,1,-37.773845,144.9836895,-37.8065571,144.9579459,5285.0,2018-03-05,17:37:41,1118.1599999999999,17:56:19,11.84
ID1530833338,0,8,4,-37.8158343,145.04645,-37.8107533,144.9975014,4612.0,2018-07-17,17:38:21,1428.6600000000003,18:02:09,7.39
ID1296714096,0,2,7,-37.8169266,144.9317806,-37.8618349,144.905716,10858.0,2018-04-11,05:56:28,3584.7000000000003,6:56:12,14.43
ID5450388390,2,9,6,-38.1109156,144.6541725,-37.7874325,144.9803767,47033.0,2018-04-27,09:27:58,11355.660000000005,12:37:13,1021.45
ID3996672582,1,1,8,-37.8118683,144.9564998,-37.8158343,145.04645,8089.0,2018-06-22,02:37:43,2298.24,3:16:01,24.88
ID5734885326,2,9,3,-38.1109156,144.6541725,-37.8174514,144.9707239,44067.0,2018-06-19,15:51:37,10617.240000000003,18:48:34,962.55
ID1685024867,0,2,1,-37.8161206,144.9287575,-37.8141341,144.9673044,4827.0,2018-01-15,18:30:08,1221.480000000001,18:50:29,8.75
ID1862220989,0,8,6,-37.8158343,145.04645,-37.7999235,144.9350643,12228.0,2018-06-11,00:46:49,3345.12,1:42:34,13.75
ID1523136747,0,2,7,-37.8244237,144.9365901,-37.8618349,144.905716,9914.0,2018-07-05,17:42:53,3307.7400000000002,18:38:00,8.11
ID1419236741,0,6,2,-37.7908183,144.9857929,-37.8249606,144.9495295,5997.0,2018-07-19,19:45:20,1511.4600000000003,20:10:31,8.33
ID3950626075,1,8,2,-37.8158343,145.04645,-37.8122826,144.9384914,10434.0,2018-03-16,21:50:51,2921.3999999999974,22:39:32,25.83
ID5300009500,2,8,9,-37.807202,145.0266373,-38.1109156,144.6541725,49777.0,2018-06-03,00:16:03,12069.779999999999,3:37:12,1109.13
ID1818471063,0,5,8,-37.8013457,144.9174425,-37.807202,145.0266373,10407.0,2018-01-25,14:25:11,2762.7000000000003,15:11:13,6.78
ID5379243975,2,4,6,-37.8140635,145.0128722,-37.7738026,144.9836466,10855.0,2018-07-14,12:10:47,3193.5600000000004,13:04:00,311.83
ID3319291423,1,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-03-05,02:24:42,13204.979999999994,6:04:46,62.99
ID1727093246,0,6,5,-37.7907967,144.985865,-37.79457,144.9358023,7752.0,2018-01-23,13:46:19,2090.88,14:21:09,8.88
ID3129620643,1,2,6,-37.8129675,144.9336625,-37.7874325,144.9803767,7209.0,2018-01-07,16:44:21,1802.7600000000004,17:14:23,22.2
ID1678849393,0,1,3,-37.8149255,144.9502653,-37.8197258,144.9696551,2859.0,2018-05-17,18:17:17,781.3199999999999,18:30:18,6.0
ID1796756025,0,8,7,37.807202,145.0266373,-37.8618349,144.905716,13986.0,2018-07-12,12:14:52,4298.280000000001,13:26:30,11.03
ID3138920560,1,7,5,-37.8618349,144.905716,-37.8090207,144.9289276,11175.0,2018-06-12,15:24:30,3615.1799999999976,16:24:45,24.38
ID5972654786,2,1,9,37.8128105,144.9736625,-38.1109156,144.6541725,44369.0,2018-07-13,05:55:22,10691.46,8:53:33,980.57
ID3979778269,1,6,9,37.7874325,144.9803767,-38.1109156,144.6541725,47033.0,2018-07-16,21:28:17,11350.5,0:37:27,58.81
ID3351369141,1,4,1,-37.8157743,145.0135759,-37.8070657,144.9600359,5196.0,2018-07-26,00:07:01,1310.9399999999998,0:28:51,19.38
ID1218374485,0,2,3,-37.8132619,144.9385342,-37.8121517,144.9890977,4961.0,2018-05-21,17:18:14,1209.8399999999997,17:38:23,8.42
ID1359645596,0,1,6,37.8092876,144.9573348,-37.773845,144.9836895,5063.0,2018-02-16,02:37:10,1062.3000000000002,2:54:52,11.05
ID1142045720,0,7,2,-37.8618349,144.905716,-37.8127591,144.9413676,10136.0,2018-05-19,23:44:52,3330.7799999999984,0:40:22,18.99
ID3479661907,1,8,9,-37.807202,145.0266373,-38.1109156,144.6541725,49777.0,2018-04-01,16:40:07,12069.779999999999,20:01:16,59.36
ID1963590680,0,5,1,-37.8100144,144.9360754,-37.8211591,144.947382,1736.0,2018-07-07,16:44:48,397.32,16:51:25,11.33
ID1891997207,0,7,8,-37.8618349,144.905716,-37.8158343,145.04645,15151.0,2018-06-25,19:22:25,4911.599999999998,20:44:16,10.37
ID1538344476,0,8,2,-37.8158343,145.04645,-37.8136879,144.9407992,9633.0,2018-03-21,23:16:35,2695.6199999999985,0:01:30,13.55
ID3768332525,1,4,7,-37.8048062,144.9981236,-37.8618349,144.905716,11379.0,2018-03-24,13:58:00,3683.7600000000007,14:59:23,28.04
ID1336627071,0,1,9,-37.8156369,144.9657342,-38.1109156,144.6541725,43572.0,2018-02-18,21:12:15,10484.16,0:06:59,22.02
ID1560686045,0,7,5,-37.8618349,144.905716,-37.8084829,144.9213965,11850.0,2018-06-20,20:57:24,3740.219999999998,21:59:44,8.61
ID1958904774,0,4,8,-37.8046965,144.9985598,-37.807202,145.0266373,2781.0,2018-01-16,08:35:43,708.2400000000001,8:47:31,2.46
ID1851313549,0,2,5,37.8156718,144.9380013,-37.8114421,144.9273307,1602.0,2018-02-06,13:50:56,420.17999999999995,13:57:56,6.81
ID5602307003,2,5,1,-37.806807,144.9380724,-37.8040695,144.9582857,3248.0,2018-05-17,05:53:25,743.52,6:05:48,96.57
ID5893845702,2,1,8,-37.8125999,144.9539031,-37.807202,145.0266373,7074.0,2018-04-17,03:09:30,1817.6400000000012,3:39:47,190.44
ID1658740792,0,5,8,-37.805337,144.9375987,-37.8158343,145.04645,9794.0,2018-05-10,03:24:33,2785.8599999999997,4:10:58,12.39
ID3565478814,1,2,7,-37.813514,144.9442952,-37.8618349,144.905716,9684.0,2018-03-20,23:33:44,3211.5600000000004,0:27:15,25.66
ID3973119551,1,5,3,-37.8106998,144.9283886,37.8150714,144.9747437,4933.0,2018-03-01,08:51:16,1230.0600000000002,9:11:46,9.22
ID3729630995,1,2,6,-37.8144195,144.935355,-37.7874325,144.9803767,6122.0,2018-01-01,16:28:54,1537.9800000000005,16:54:31,16.45
ID3180663498,1,2,4,-37.817899,144.9502679,37.7998656,145.0027997,6356.0,2018-03-19,21:08:42,1495.4399999999998,21:33:37,19.63
ID1829529915,0,1,9,-37.8137617,144.9378304,-38.1109156,144.6541725,42907.0,2018-07-15,02:42:34,10280.22,5:33:54,21.43
ID1129498583,0,3,4,-37.8242505,144.9905173,-37.8052069,144.9945958,2648.0,2018-02-28,00:15:41,714.3000000000002,0:27:35,10.13
ID3489574652,1,8,1,-37.8158343,145.04645,-37.8075185,144.9706725,6738.0,2018-01-17,12:55:48,1982.46,13:28:50,17.04
ID5200315248,2,8,9,-37.8158343,145.04645,-38.1109156,144.6541725,51032.0,2018-04-16,07:08:00,12681.059999999998,10:39:21,1138.76
ID3303944042,1,4,8,-37.8043781,144.9932968,37.8158343,145.04645,5350.0,2018-02-07,08:36:05,1681.6799999999998,9:04:06,11.95
ID1822515241,0,2,4,-37.8148791,144.9418491,-37.811221,145.0073618,6063.0,2018-02-05,03:13:58,1559.3400000000004,3:39:57,9.9
ID1349518985,0,6,8,-37.7907967,144.985865,37.807202,145.0266373,4834.0,2018-01-03,21:45:15,1358.6400000000003,22:07:53,12.08
ID1648850194,0,4,9,-37.815718,145.0028708,38.1109156,144.6541725,47178.0,2018-06-16,09:16:40,11321.58,12:25:21,18.68
ID5550036808,2,3,2,-37.8256734,144.9979027,-37.8154808,144.9414181,5786.0,2018-05-03,04:53:01,1497.2999999999995,5:17:58,164.7
ID1709761630,0,1,3,-37.8058839,144.9372744,-37.8236861,144.982575,5107.0,2018-04-26,11:16:46,1331.2200000000003,11:38:57,3.99
ID1284272091,0,8,9,-37.807202,145.0266373,-38.1109156,144.6541725,49777.0,2018-01-01,06:06:28,12069.779999999999,9:27:37,13.7
ID1526608221,0,6,7,-37.7738026,144.9836466,-37.8618349,144.905716,16033.0,2018-02-17,09:40:27,5323.559999999998,11:09:10,11.62
ID5573033401,2,8,1,-37.807202,145.0266373,-37.8244182,144.948369,8153.0,2018-01-20,02:15:08,2083.8000000000006,2:49:51,222.26
ID3889907681,1,6,2,-37.7907967,144.985865,-37.8120556,144.9417989,5628.0,2018-07-07,08:53:21,1550.8199999999997,9:19:11,15.75
ID3378017193,1,5,4,-37.8147958,144.9270579,-37.8006735,145.0184852,10274.0,2018-06-15,08:27:28,2695.4400000000005,9:12:23,15.75
ID3713284447,1,9,3,-38.1109156,144.6541725,-37.8188114,145.0052595,47279.0,2018-01-10,01:16:40,11564.47999999999,4:28:13,57.89
ID1370928575,0,7,5,-37.8618349,144.905716,-37.8056758,144.9318674,11019.0,2018-07-25,06:36:33,3559.2799999999993,7:35:11,5.74
ID3795844179,1,8,2,-37.8158343,145.04645,-37.8129588,144.9337,11220.0,2018-06-07,06:21:15,3169.499999999998,7:13:19,17.26
ID5284154121,2,8,5,-37.8158343,145.04645,-37.7957633,144.9311383,11234.0,2018-03-19,15:31:41,3244.0799999999986,16:25:45,308.4
ID3733804248,1,4,8,-37.8095167,144.99974,-37.8158343,145.04645,4277.0,2018-01-19,06:19:20,1402.92,6:41:57,9.76
ID1353401169,0,1,8,-37.7985159,144.9642037,-37.8158343,145.04645,8208.0,2018-01-07,09:19:22,2381.7,9:59:03,12.22
ID5133752147,2,2,7,-37.8096741,144.9365179,-37.8618349,144.905716,10502.0,2018-04-28,09:58:10,3416.78,10:55:04,321.46
ID1482368192,0,9,1,-38.1109156,144.6541725,-37.8157243,144.9500937,43168.0,2018-01-01,15:50:22,10371.54,18:43:13,16.71
ID3296552964,1,7,4,-37.8618349,144.905716,-37.8121739,145.014645,12331.0,2018-05-08,13:46:40,3899.7599999999975,14:51:39,23.1
ID5538607608,2,6,3,-37.7874325,144.9803767,-37.8136282,145.0047619,4978.0,2018-02-27,04:59:04,1280.9999999999995,5:20:25,145.95
ID3235214122,1,6,8,-37.7738026,144.9836466,-37.8158343,145.04645,13562.0,2018-02-20,10:40:33,4213.5599999999995,11:50:46,19.29
ID3636563468,1,8,2,-37.8158343,145.04645,-37.8163702,144.9286073,11603.0,2018-04-18,04:27:40,3222.839999999999,5:21:22,26.62
ID5697080605,2,6,8,-37.7874421,144.9804091,-37.807202,145.0266373,5789.0,2018-03-10,10:54:16,1502.6800000000005,11:19:08,151.64
ID1187088897,0,4,5,-37.7984333,144.9933386,-37.8093501,144.9315798,6620.0,2018-03-18,23:00:03,1653.5999999999992,23:27:36,15.88
ID1553166657,0,3,4,-37.8209409,144.969902,-37.8127226,145.014345,5064.0,2018-03-01,23:51:24,1335.66,0:13:39,10.83
ID3627070597,1,5,1,-37.8153371,144.9279699,-37.8201679,144.9565668,4028.0,2018-02-11,03:00:20,974.3999999999997,3:16:34,22.81
ID1808882644,0,1,8,-37.7996802,144.9373507,-37.8158343,145.04645,11453.0,2018-06-06,01:17:05,3200.2799999999993,2:10:25,13.6
ID5863610794,2,3,9,-37.8251587,144.9933891,-38.1109156,144.6541725,46312.0,2018-07-08,23:08:19,11243.999999999998,2:15:43,1034.69
ID3665868087,1,1,6,-37.8097275,144.9639608,-37.7874325,144.9803767,3391.0,2018-05-21,05:18:01,806.1600000000002,5:31:27,18.03
ID3213188927,1,3,4,-37.8166264,145.0073186,-37.8165229,145.0093465,230.0,2018-01-26,21:28:22,47.44000000000001,21:29:32,14.03
ID1318756015,0,9,6,-38.1109156,144.6541725,-37.7874325,144.9803767,47033.0,2018-02-27,19:36:44,11355.660000000005,22:45:59,16.64
ID5633071975,2,7,3,-37.8618349,144.905716,-37.8126451,144.9738257,8701.0,2018-04-20,01:48:03,2988.8199999999993,2:36:44,289.27
ID3394459956,1,7,5,-37.8618349,144.905716,-37.8068155,144.9379825,10459.0,2018-06-27,04:58:36,3419.2199999999984,5:55:35,28.92
ID3469135860,1,6,4,-37.7907967,144.985865,-37.8071296,144.9957194,2732.0,2018-06-19,11:06:24,795.0,11:19:30,8.53
ID1669828520,0,6,4,-37.7874325,144.9803767,-37.8055456,144.9992173,4503.0,2018-01-17,10:52:14,1213.9200000000003,11:12:27,4.75
ID5940206518,2,1,6,-37.8052589,144.9692308,-37.7907967,144.985865,2803.0,2018-01-09,17:05:37,834.48,17:19:31,97.94
ID3133675645,1,2,1,-37.8119582,144.9391759,-37.8015212,144.9478527,2165.0,2018-04-16,02:34:27,574.6,2:43:57,17.95
ID3969437296,1,9,2,-38.1109156,144.6541725,-37.8148738,144.9449284,41937.0,2018-04-14,16:22:58,10098.84,19:11:16,51.15
ID1893929589,0,7,4,-37.8618349,144.905716,-37.8018074,145.0041975,12134.0,2018-06-03,03:36:01,3857.939999999998,4:40:18,17.34
ID5209875737,2,3,8,-37.8183221,145.0015453,-37.8158343,145.04645,4708.0,2018-07-27,07:53:08,1456.8000000000002,8:17:24,142.45
ID1236191167,0,5,9,-37.8083623,144.9362725,-38.1109156,144.6541725,42943.0,2018-04-01,18:57:16,10280.699999999999,21:48:36,20.66
ID1778093096,0,1,3,-37.8063045,144.9496603,-37.8172711,144.9878276,4105.0,2018-04-11,16:19:24,1020.06,16:36:24,7.79
ID3128376291,1,2,1,-37.8122877,144.9372642,-37.8022545,144.9493479,2415.0,2018-05-14,16:27:49,663.4200000000003,16:38:52,12.11
ID1797818424,0,4,5,-37.8139422,145.015182,-37.8001237,144.9288843,9186.0,2018-05-11,04:18:55,2299.560000000001,4:57:14,12.32
ID3583815411,1,6,7,-37.7907967,144.985865,-37.8618349,144.905716,11711.0,2018-01-01,22:11:51,3866.9400000000014,23:16:17,28.92
ID1950554807,0,3,6,-37.8242396,144.9822045,-37.7738026,144.9836466,9250.0,2018-04-27,00:38:41,2896.92,1:26:57,12.12
ID1594553410,0,2,4,-37.813296,144.9386894,-37.8024117,145.0094612,7444.0,2018-06-14,17:58:32,1998.96,19:43:36,8.46
ID5381172359,2,9,3,-38.1109156,144.6541725,-37.817489,145.0054343,47409.0,2018-07-17,13:32:38,11512.619999999994,16:44:30,1042.42
ID3921079435,1,3,1,-37.8242053,144.9834431,-37.8135461,144.9488599,4657.0,2018-06-04,01:08:54,1246.5599999999997,1:29:40,17.51
ID1764844770,0,7,6,-37.8618349,144.905716,-37.773845,144.9836895,13169.0,2018-06-12,19:11:40,3863.579999999999,20:16:03,9.42
ID1630312964,0,3,1,-37.8211305,144.9833823,-37.8022837,144.9513492,4239.0,2018-01-16,11:32:34,1080.8400000000006,11:50:34,4.54
ID5876487907,2,3,4,-37.8167066,144.9886931,-37.8067849,144.9982453,1917.0,2018-06-24,02:06:08,427.62,6:24:32,75.76
ID3424929345,1,3,1,-37.8222038,144.975708,-37.8222822,144.9609429,1520.0,2018-06-26,13:25:01,374.8199999999999,19:46:27,10.72
ID1695217863,0,1,9,-37.8007309,144.9530295,-38.1109156,144.6541725,43962.0,2018-01-02,08:07:16,10575.359999999999,12:30:19,12.34
ID5282950615,2,6,2,-37.7874325,144.9803767,-37.8238758,144.9350031,7119.0,2018-07-11,16:03:43,1835.2800000000004,16:34:18,184.51
ID5989256883,2,8,5,-37.8158343,145.04645,-37.8002739,144.9362757,10129.0,2018-06-13,21:54:52,2837.0400000000004,22:42:09,282.45
ID3620154540,1,5,4,-37.8131622,144.9335246,-37.8096732,144.9925222,6408.0,2018-05-10,22:35:28,1570.0800000000002,2:48:43,20.97
ID3218874606,1,5,6,-37.8105833,144.931807,-37.7874421,144.9804091,7382.0,2018-01-08,11:31:15,1875.0000000000007,12:02:30,9.32
ID3450238218,1,6,7,-37.7874421,144.9804091,-37.8618349,144.905716,11630.0,2018-02-06,00:18:26,3697.0200000000013,1:20:03,28.69
ID1182713962,0,4,7,-37.8071388,144.9916771,-37.8618349,144.905716,10554.0,2018-06-05,18:59:04,3484.1400000000003,19:57:08,8.65
ID1250785407,0,3,2,-37.8161528,144.9724208,-37.8217497,144.9367564,3601.0,2018-05-03,15:23:11,913.9799999999998,15:38:24,7.08
ID3225394064,1,7,4,-37.8618349,144.905716,-37.801241,144.9967929,11572.0,2018-02-26,03:52:14,3752.5199999999977,4:54:46,29.4
ID5609409109,2,1,3,-37.8060188,144.9570796,-37.8138284,145.0000453,4202.0,2018-01-18,12:25:17,1052.4000000000003,12:42:49,116.42
ID1945819457,0,4,3,-37.8104835,144.9959702,-37.8194122,145.0081377,1855.0,2018-04-17,05:17:45,463.91999999999996,5:25:28,8.73
ID3826497665,1,9,3,-38.1109156,144.6541725,-37.8210635,144.9782837,45077.0,2018-06-21,11:39:36,10845.539999999994,14:40:21,43.7
ID3456294126,1,5,2,-37.8169526,144.9274736,-37.8137365,144.9386972,1839.0,2018-01-08,03:37:29,461.93999999999994,3:45:10,17.74
ID3171903842,1,1,8,-37.8022873,144.9572679,-37.807202,145.0266373,6809.0,2018-02-06,18:35:38,1756.8000000000009,19:04:54,17.04
ID3375949455,1,5,9,-37.804508,144.9376613,-38.1109156,144.6541725,44022.0,2018-02-04,07:38:30,10572.48,9:41:21,48.91
ID3755724616,1,8,5,-37.8158343,145.04645,-37.8019292,144.9367901,10319.0,2018-03-05,15:41:38,2871.2400000000002,16:29:29,20.58
ID5972575140,2,1,5,-37.8001524,144.9551627,-37.8059281,144.9389586,1994.0,2018-02-05,17:04:30,540.7800000000002,17:49:31,69.15
ID1172018910,0,7,1,-37.8618349,144.905716,-37.8136879,144.9407992,10055.0,2018-05-15,22:13:16,3306.179999999999,2:38:29,12.9
ID3729140767,1,1,4,-37.8141035,144.9736357,-37.8032334,144.9966443,3070.0,2018-01-17,22:23:31,804.48,22:36:55,15.19
ID1900354042,0,5,7,-37.8058221,144.9333802,-37.8618349,144.905716,10889.0,2018-03-18,05:00:52,3491.5200000000004,5:59:03,16.69
ID3327552206,1,1,3,-37.8158761,144.9612007,-37.8168514,144.9881541,2640.0,2018-03-09,21:41:24,613.6800000000001,23:54:40,17.09
ID1963276569,0,1,3,-37.8009521,144.9700611,-37.8234385,144.9792752,2845.0,2018-04-09,23:05:04,753.8399999999999,23:17:37,10.63
ID3845620736,1,3,7,-37.8184891,144.9981526,-37.8618349,144.905716,10422.0,2018-07-20,18:34:39,3347.9400000000005,19:30:26,22.83
ID1465127564,0,1,9,-37.8142658,144.9632001,-38.1109156,144.6541725,43325.0,2018-05-17,01:22:46,10410.72,4:16:16,18.94
ID3698662460,1,8,6,-37.8158343,145.04645,-37.7874421,144.9804091,8357.0,2018-07-14,01:19:48,2437.38,1:21:04,27.78
ID5529147558,2,3,8,-37.8158673,144.9996422,-37.807202,145.0266373,3478.0,2018-06-02,20:22:57,839.3999999999999,20:36:56,101.84
ID5336618758,2,2,5,-37.8130106,144.93361,-37.8153797,144.9225106,2128.0,2018-01-13,15:44:43,562.8,15:54:05,78.13
ID3892221132,2,3,7,-37.8207611,144.9670767,-37.8618349,144.905716,7576.0,2018-07-08,20:07:47,2676.24,20:52:23,24.29
ID1794695687,0,1,3,-37.8152001,144.9748161,-37.8153783,144.9773321,235.0,2018-02-19,23:27:14,70.74,23:28:24,10.9
ID1975784212,2,9,5,-38.1109156,144.6541725,-37.8054083,144.9346526,43412.0,2018-04-17,09:56:03,10405.319999999998,12:49:28,12.79
ID3190408454,1,1,2,-37.7990664,144.9728229,-37.8210441,144.9472646,4059.0,2018-06-20,17:26:58,994.7400000000001,17:43:32,12.49
ID5672842805,2,8,2,-37.8158343,145.04645,-37.8203842,144.9420304,9832.0,2018-07-26,10:21:01,2701.8000000000006,11:06:02,252.31
ID3649752207,1,5,4,-37.8089442,144.9257734,-37.8119745,145.0104183,7979.0,2018-04-09,08:54:59,1968.9600000000003,9:27:47,11.06
ID3759596708,1,3,5,-37.8140499,144.9716334,-37.8045967,144.9196376,5280.0,2018-07-25,04:41:21,1210.1999999999998,5:01:31,19.04
ID3812088717,2,5,6,-37.8104326,144.9242474,-37.773845,144.9836895,8327.0,2018-07-07,23:09:58,1883.6400000000008,23:41:21,29.64
ID1971730879,0,8,5,-37.807202,145.0266373,-37.8017383,144.9311332,9131.0,2018-04-14,15:29:56,2408.46,16:10:04,11.28
ID3514164545,1,3,9,-37.813381,144.9738693,-38.1109156,144.6541725,44333.0,2018-01-08,11:21:33,10621.439999999999,14:18:34,44.69
ID3642012743,1,9,5,-38.1109156,144.6541725,-37.8163872,144.9285555,44140.0,2018-01-19,07:19:49,10607.64,10:16:36,43.32
ID3513963076,1,4,6,-37.8118559,145.0058842,-37.7907967,144.985865,3961.0,2018-04-05,06:47:56,1126.56,7:06:42,9.12
ID1297050673,1,4,2,-37.8040515,145.005367,-37.8193442,144.9320883,8120.0,2018-04-05,07:55:03,2018.0399999999995,8:28:41,5.74
ID1465718004,1,7,3,-37.8618349,144.905716,-37.819338,144.9851526,9212.0,2018-07-09,04:59:08,3013.74,5:49:21,11.9
ID1604591225,2,6,4,-37.7907967,144.985865,-37.8104027,145.0157681,4687.0,2018-01-24,10:43:00,1308.4800000000002,11:04:48,5.93
ID5770927957,2,3,7,-37.812769,144.9892472,-37.8618349,144.905716,9890.0,2018-07-10,01:06:43,3329.6400000000003,2:02:12,327.01
ID3345622042,1,9,1,-38.1109156,144.6541725,-37.7990107,144.9541954,44189.0,2018-06-06,15:13:54,10637.579999999998,18:11:11,49.0
ID5535875644,2,5,6,-37.8069024,144.9374796,-37.7874325,144.9803767,6265.0,2018-01-24,04:31:54,1534.0800000000002,4:57:28,167.47
ID5664668677,1,4,3,-37.8142199,145.0061672,-37.8202417,144.9687,4095.0,2018-02-28,19:08:59,1044.6600000000005,19:26:23,113.28
ID1196084659,0,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-06-24,09:57:29,13173.359999999999,13:37:02,19.7
ID1797741231,1,2,7,-37.8166412,144.9316921,-37.8618349,144.905716,12532.0,2018-02-02,21:03:30,3877.4400000000014,22:08:07,12.05
ID5886464163,2,9,5,-38.1109156,144.6541725,-37.8094878,144.9362746,42826.0,2018-01-08,22:21:15,10247.999999999996,1:12:03,939.23
ID1960170298,0,1,6,-37.8044436,144.9763334,-37.773845,144.9836895,4030.0,2018-07-21,13:34:42,804.1800000000001,13:48:06,11.11
ID5428226856,2,8,9,-37.807202,145.0266373,-38.1109156,144.6541725,49777.0,2018-05-01,15:35:40,12069.779999999999,18:56:49,1093.03
ID3292975997,1,3,6,-37.8137679,144.9855459,-37.7874325,144.9803767,3608.0,2018-05-01,12:46:39,909.4200000000003,13:01:48,15.44
ID1815574385,0,2,7,-37.8204286,144.9496122,-37.8618349,144.905716,8816.0,2018-05-11,9:24:13,2988.3,08:34:25,6.43
ID5731912030,2,8,2,-37.8158343,145.04645,-37.8201602,144.9508446,9019.0,2018-03-11,20:55:05,2605.6799999999994,21:38:30,257.61
ID5651853466,2,9,8,-38.1109156,144.6541725,-37.807202,145.0266373,49777.0,2018-01-03,01:27:56,12099.660000000003,4:49:35,1104.4
ID3924141193,1,1,9,-37.816446,144.9710005,-38.1109156,144.6541725,44148.0,2018-04-02,6:24:24,10658.58,03:26:46,54.82
ID1797727183,0,7,8,-37.8618349,144.905716,-37.8158343,145.04645,15151.0,2018-02-26,19:26:20,4911.599999999998,20:48:11,10.95
ID1350537749,0,8,3,-37.8158343,145.04645,-37.8180175,144.9694443,7611.0,2018-05-17,00:22:48,2223.2999999999997,0:59:51,13.18
ID3439086883,1,3,9,-37.8134021,144.9954422,-38.1109156,144.6541725,46498.0,2018-02-17,22:26:09,11219.58,19:19:10,58.13
ID3482868340,1,5,4,-37.8051279,144.9305831,-37.8159318,145.0135796,7983.0,2018-01-24,05:55:24,2037.9,6:29:21,24.17
